INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1575.996,1750.2958,1523.996,1987.513,1994.2169,1985.513,461.5171,25,0,724.5932,25,0,333.582,25,0,85.7786,13.9408,0.2806,1360885,0.7184,0.7204,0.0539,0.8592
I00699,2,343039.8487,343322.3349,342987.8487,384304.9245,384315.7894,384302.9245,41315.0758,25,0,36863.7834,25,0,27310.5701,25,0,71.7774,27.1592,1.0634,23691190572,0.4462,0.451,0.1415,0.7231
I00699,3,5364.9535,5563.218,5312.9535,6645.5384,6653.164,6643.5384,1330.5849,25,0,1372.2073,25,0,600.9512,25,0,83.0611,16.443,0.4959,12380760,0.6662,0.6695,0.0719,0.8331
I00699,4,3201.1034,3390.3775,3149.1034,3773.7598,3781.0395,3771.7598,622.6564,25,0,621.9934,25,0,343.6085,25,0,81.7364,17.8919,0.3717,4679928,0.6384,0.6408,0.052,0.8192
I00699,5,1791.1588,1837.9968,1777.1588,1845.3822,1852.0733,1843.3822,66.2234,6,0,69.1308,6,0,65.2087,6,0,63.6232,31.5132,4.8636,1227504,0.3211,0.3375,0.0223,0.6605
I00699,6,8593.3425,8875.7969,8541.3425,13024.4433,13035.307,13022.4433,4481.1008,25,0,16312.7998,25,0,2577.2577,25,0,95.9148,3.9054,0.1798,356592414,0.9201,0.9218,0.0044,0.96
I00699,7,13173.0731,13396.9778,13121.0731,17749.1097,17757.7214,17747.1097,4626.0366,25,0,5319.4406,25,0,3115.9272,25,0,86.5696,13.1611,0.2693,88576335,0.7341,0.7361,0.0789,0.867
I00699,8,21193.0888,21373.0826,21149.0888,25797.7375,25805.919,25795.7375,4646.6486,21,0,4084.0074,21,0,3123.2252,21,0,78.6167,20.8808,0.5026,107987178,0.5774,0.5803,0.1788,0.7887
I00699,9,13825.4366,13996.0514,13781.4366,17365.2642,17373.0195,17363.2642,3581.8277,21,0,3097.8676,21,0,2193.2653,21,0,79.8445,19.6377,0.5178,47970659,0.6021,0.6052,0.1943,0.801
I00699,10,32123.4327,32343.4402,32075.4327,44826.5703,44835.7373,44824.5703,12749.1376,23,0,12436.6399,23,0,7246.5651,23,0,86.8084,12.8663,0.3254,435465450,0.7394,0.7418,0.1286,0.8697
I00699,11,17202.2227,17394.5408,17158.2227,25315.8581,25324.5999,25313.8581,8155.6355,21,0,8783.7536,21,0,4698.2336,21,0,88.9517,10.7817,0.2666,153681768,0.7817,0.7838,0.1123,0.8908
I00699,12,15026.4835,15233.4511,14974.4835,20415.2112,20423.1715,20413.2112,5438.7277,25,0,4866.6719,25,0,3064.8352,25,0,83.7976,15.7472,0.4552,68187378,0.6805,0.6836,0.2071,0.8403
I00699,13,24631.8034,24826.9632,24583.8034,29981.7958,29989.9275,29979.7958,5395.9924,23,0,4585.0336,23,0,3569.8986,23,0,77.3879,22.0178,0.5942,128344069,0.5537,0.557,0.2251,0.7769
I00699,14,9945.4124,10142.4161,9893.4124,12737.8626,12745.4397,12735.8626,2842.4502,25,0,2472.4826,25,0,1714.8848,25,0,82.1205,17.4536,0.426,28124561,0.6467,0.6494,0.1747,0.8233
I00699,15,69952.8384,70194.1137,69900.8384,90899.5565,90908.8363,90897.5565,20996.7181,25,0,17109.6539,25,0,10844.226,25,0,80.022,19.3654,0.6126,1209202050,0.6066,0.6103,0.2338,0.8033
I00699,16,4134.5413,4299.2466,4084.5413,5175.6134,5182.2016,5173.6134,1089.0721,24,0,937.524,24,0,617.2395,24,0,80.2512,19.142,0.6069,4381456,0.6111,0.6148,0.1859,0.8055
I00699,17,5080.7699,5293.4534,5028.7699,8784.5571,8792.7372,8782.5571,3753.7872,25,0,5396.6276,25,0,1967.7026,25,0,93.7821,6.0524,0.1654,26420233,0.8773,0.8788,0.0666,0.9386
I00699,18,15799.4769,16010.1546,15755.4769,32422.6561,32432.2324,32420.6561,16665.1792,21,0,25964.0823,21,0,5344.3179,21,0,95.9696,3.8218,0.2085,384761685,0.9215,0.9234,0.0625,0.9607
I00699,19,5305.3756,5491.5515,5259.3756,9909.5213,9917.6159,9907.5213,4648.1457,22,0,6754.0117,22,0,2136.4998,22,0,94.5446,5.1731,0.2824,28941211,0.8937,0.8962,0.0882,0.9469
I00699,20,4284.4726,4479.0282,4234.4726,6871.1537,6878.9359,6869.1537,2634.6811,24,0,3131.9917,24,0,1327.49,24,0,92.6244,7.1432,0.2324,14464164,0.8548,0.8568,0.0788,0.9274
I00699,21,10949.0112,11158.8735,10897.0112,15638.6682,15646.7399,15636.6682,4739.657,25,0,4535.8854,25,0,2555.365,25,0,87.6643,11.702,0.6336,51480912,0.7596,0.7645,0.1397,0.8798
I00699,22,18346.8656,18585.7053,18294.8656,31488.2963,31497.4824,31486.2963,13191.4307,25,0,15000.3205,25,0,4222.6227,25,0,93.0687,6.3847,0.5466,279026244,0.8668,0.8716,0.093,0.9334
I00699,23,16085.8868,16330.7725,16033.8868,27288.6265,27298.0452,27286.6265,11252.7397,25,0,19174.2249,25,0,6707.1876,25,0,93.0489,6.7267,0.2244,275560320,0.8632,0.8652,0.0574,0.9316
I00699,24,9934.4499,10153.0024,9882.4499,16105.9463,16114.3522,16103.9463,6221.4964,25,0,7152.6609,25,0,2969.2189,25,0,91.5772,8.1708,0.252,67503942,0.8341,0.8362,0.1031,0.917
I00699,25,16142.1071,16355.4679,16090.1071,19149.2176,19157.4237,19147.2176,3057.1104,25,0,2787.8346,25,0,1968.7383,25,0,78.4853,21.2189,0.2957,73700929,0.5727,0.5744,0.1152,0.7863
I00699,26,24270.3247,24503.4013,24218.3247,30541.8766,30550.8411,30539.8766,6321.5519,25,0,6672.8293,25,0,4439.6632,25,0,83.1146,16.6295,0.2559,229247500,0.6649,0.6666,0.0913,0.8324
I00699,27,29726.2444,29962.2043,29674.2444,34773.4746,34782.55,34771.4746,5097.2302,25,0,4861.2879,25,0,3675.4515,25,0,78.7151,21.0297,0.2552,293274465,0.5769,0.5783,0.0812,0.7884
I00699,28,13263.4361,13449.6174,13219.4361,16379.5316,16387.9943,16377.5316,3158.0955,21,0,3378.2838,21,0,2277.8374,21,0,82.5388,17.1473,0.3139,71829810,0.6539,0.656,0.0767,0.827
I00699,29,4628.3726,4813.8735,4576.3726,7035.1161,7042.2507,7033.1161,2456.7435,25,0,2183.1156,25,0,1146.7762,25,0,89.1507,10.6417,0.2076,9485100,0.7851,0.7867,0.1733,0.8925
I00699,30,98741.7117,98995.73,98689.7117,115147.6687,115157.4386,115145.6687,16455.957,25,0,13801.4507,25,0,9737.467,25,0,74.8155,24.4247,0.7597,2285497733,0.5039,0.5078,0.1378,0.752
I00699,31,22445.621,22674.2626,22393.621,38321.1749,38329.9688,38319.1749,15925.5539,25,0,15029.7908,25,0,6255.7766,25,0,91.4179,8.3096,0.2725,274842332,0.8311,0.8334,0.1924,0.9155
I00699,32,9196.0842,9430.3907,9144.0842,12409.1212,12418.133,12407.1212,3263.037,25,0,3969.8131,25,0,2017.4524,25,0,89.4467,10.39,0.1633,75909120,0.7906,0.7919,0.0327,0.8953
I00699,33,4904.006,5162.2769,4852.006,6650.5846,6660.5181,6648.5846,1796.5786,25,0,3901.0062,25,0,1580.5009,25,0,91.7253,8.1373,0.1373,74983766,0.8359,0.837,0.0054,0.9179
I00699,34,6136.5433,6369.5956,6084.5433,7518.0793,7527.0429,7516.0793,1431.536,25,0,1684.1308,25,0,633.0385,25,0,86.8203,12.7111,0.4685,39583678,0.7411,0.7446,0.0176,0.8705
I00699,35,19141.5092,19386.9167,19089.5092,23926.4252,23935.8639,23924.4252,4834.916,25,0,6216.259,25,0,3021.1157,25,0,85.4671,14.1362,0.3967,237193638,0.7133,0.7161,0.0393,0.8567
I00699,36,18071.5546,18319.1452,18019.5546,22478.2161,22487.7389,22476.2161,4456.6615,25,0,4622.2292,25,0,1801.9008,25,0,85.3802,14.1488,0.471,233811423,0.7123,0.7157,0.0327,0.8562
I00699,37,67602.3637,67859.1014,67550.3637,73938.7243,73948.5989,73936.7243,6386.3607,25,0,5975.1592,25,0,4640.3941,25,0,71.9188,27.0689,1.0123,1368303970,0.4485,0.4531,0.0596,0.7242
I00699,38,26390.2514,26640.1333,26338.2514,33836.6137,33846.2245,33834.6137,7496.3623,25,0,8201.5122,25,0,3963.9602,25,0,86.2762,13.4004,0.3234,416548836,0.7288,0.7311,0.0499,0.8644
I00699,39,45115.6453,45376.968,45063.6453,49669.7942,49679.845,49667.7942,4604.1488,25,0,4106.6232,25,0,2997.5651,25,0,74.4913,24.8021,0.7066,935794298,0.4969,0.5004,0.0317,0.7484
I00699,40,2483.0293,2685.9232,2431.0293,2883.8762,2891.6798,2881.8762,450.8468,25,0,651.5392,25,0,286.9557,25,0,82.3234,17.1398,0.5368,4971780,0.6518,0.6554,0.0198,0.8259
I00699,41,6216.4593,6458.9846,6164.4593,8566.342,8575.6699,8564.342,2399.8827,25,0,4523.0724,25,0,1639.3659,25,0,91.3977,8.4589,0.1435,61850107,0.8294,0.8306,0.0149,0.9147
I00699,42,69071.8928,69318.745,69019.8928,70915.5722,70925.0665,70913.5722,1893.6794,25,0,1629.7972,25,0,1309.1264,25,0,60.291,37.943,1.7659,996544000,0.2235,0.2275,0.0462,0.6117
I00699,43,12385.5835,12648.9798,12333.5835,13609.106,13619.2366,13607.106,1273.5225,25,0,1685.7249,25,0,1049.2977,25,0,77.3201,22.1295,0.5504,205184889,0.5519,0.555,0.0066,0.776
I00699,44,12912.7317,13143.824,12860.7317,13712.7735,13721.6617,13710.7735,850.0418,25,0,735.062,25,0,502.3765,25,0,69.8425,29.184,0.9736,78260640,0.4066,0.4106,0.0222,0.7033
I00699,45,1190.3497,1401.7883,1138.3497,1372.9415,1381.0737,1370.9415,232.5918,25,0,329.2624,25,0,105.2674,25,0,87.4513,12.3093,0.2395,2653710,0.7514,0.7532,0.0063,0.8757
I00699,46,8865.3956,9085.1073,8813.3956,11467.5426,11475.9931,11465.5426,2652.147,25,0,4210.8273,25,0,2134.409,25,0,85.9949,13.7593,0.2458,45152000,0.7224,0.7241,0.0546,0.8612
I00699,47,7778.1128,7971.0403,7728.1128,8607.7169,8615.434,8605.7169,877.604,24,0,736.6832,24,0,474.803,24,0,73.1528,25.7796,1.0676,18450398,0.4737,0.4788,0.0634,0.7369
I00699,48,13754.6803,13979.7953,13702.6803,16045.5463,16054.2045,16043.5463,2340.866,25,0,2098.9644,25,0,1438.9964,25,0,79.631,20.0682,0.3008,80507630,0.5956,0.5974,0.053,0.7978
I00699,49,3111.992,3315.4459,3059.992,3791.4102,3799.2354,3789.4102,729.4182,25,0,851.8727,25,0,370.8808,25,0,85.6099,13.9583,0.4318,7077882,0.7165,0.7196,0.0297,0.8583
I00699,50,26612.9285,26882.2912,26560.9285,33774.5795,33784.9396,33772.5795,7211.651,25,0,10802.9531,25,0,4435.67,25,0,87.9772,11.6915,0.3313,735431560,0.7629,0.7654,0.0206,0.8814
I00699,51,16703.95,16907.4852,16651.95,17905.6763,17913.5046,17903.6763,1251.7263,25,0,1079.022,25,0,909.0935,25,0,67.9493,31.5786,0.4721,52423894,0.3637,0.3654,0.1108,0.6819
I00699,52,11715.7744,12007.3427,11663.7744,14094.308,14105.5222,14092.308,2428.5336,25,0,4271.173,25,0,1834.0764,25,0,89.1946,10.6013,0.2042,524682326,0.7859,0.7875,0.0027,0.893
I00699,53,26313.9507,26582.551,26261.9507,31925.8337,31936.1645,31923.8337,5661.883,25,0,6312.366,25,0,3130.5247,25,0,85.8402,13.8716,0.2883,671133124,0.7197,0.7218,0.0188,0.8598
I00699,54,17478.1571,17712.2978,17426.1571,19601.731,19610.7364,19599.731,2173.5739,25,0,2123.3076,25,0,1605.2753,25,0,76.6756,22.7496,0.5749,133779168,0.5393,0.5424,0.0398,0.7696
I00699,55,11990.2592,12217.1047,11938.2592,13862.2776,13871.0025,13860.2776,1922.0185,25,0,2115.1381,25,0,1542.9434,25,0,79.8003,19.8191,0.3806,70235870,0.5998,0.6021,0.0408,0.7999
I00699,56,5326.453,5556.3813,5274.453,6530.7014,6539.5448,6528.7014,1254.2485,25,0,1435.1021,25,0,832.7427,25,0,86.9746,12.5983,0.4271,30357000,0.7438,0.747,0.0172,0.8719
I00699,57,117364.167,117613.7956,117316.167,132810.0015,132820.4027,132808.0015,15491.8346,23,0,16632.1576,23,0,12987.6703,23,0,75.6708,23.5734,0.7558,4235791707,0.521,0.5249,0.0747,0.7605
I00699,58,39629.7006,39905.7605,39577.7006,44115.6105,44126.2282,44113.6105,4535.9099,25,0,5585.0591,25,0,4061.8049,25,0,77.7375,21.7119,0.5506,1245438728,0.5603,0.5634,0.0153,0.7801
I00699,59,17287.1632,17584.0001,17235.1632,19810.4478,19821.8646,19808.4478,2573.2846,25,0,3957.7153,25,0,2112.1279,25,0,84.7902,14.8293,0.3805,922999558,0.6996,0.7023,0.0029,0.8498
I00699,60,37149.7884,37395.424,37097.7884,41457.2178,41466.6653,41455.2178,4357.4293,25,0,4443.8376,25,0,3465.573,25,0,75.1462,24.2213,0.6325,478972148,0.5092,0.5125,0.0556,0.7546
I00699,61,2082.1584,2259.4966,2030.1584,2290.1755,2296.9962,2288.1755,258.0171,25,0,222.0283,25,0,155.2959,25,0,76.7425,22.6497,0.6078,1774500,0.5409,0.5442,0.0419,0.7705
I00699,62,10670.5073,10898.6593,10618.5073,12131.8173,12140.5924,12129.8173,1511.31,25,0,1499.3689,25,0,1063.0445,25,0,78.8554,20.2691,0.8755,61688249,0.5859,0.591,0.0316,0.7929
I00699,63,47092.438,47374.3438,47040.438,55255.7371,55266.5796,55253.7371,8213.2991,25,0,9788.2637,25,0,5901.4185,25,0,83.004,16.4021,0.5939,1953394074,0.666,0.67,0.0182,0.833
I00699,64,20558.602,20757.7557,20506.602,21669.9642,21677.624,21667.9642,1161.3622,25,0,1105.8047,25,0,991.8029,25,0,64.6126,34.7669,0.6205,61180425,0.2985,0.3003,0.1487,0.6492
I00699,65,180222.9773,180492.2008,180170.9773,188354.7574,188365.1122,188352.7574,8181.7802,25,0,7716.4804,25,0,7137.3604,25,0,64.5045,34.2642,1.2313,6502229139,0.3024,0.3062,0.073,0.6512
I00699,66,252247.9697,252524.1403,252195.9697,271846.3069,271856.9288,271844.3069,19648.3372,25,0,20319.3118,25,0,18051.2749,25,0,68.8486,30.2858,0.8655,12680094850,0.3856,0.389,0.1064,0.6928
I00699,67,11183.2083,11427.3891,11131.2083,12148.1988,12157.5904,12146.1988,1014.9905,25,0,1140.9179,25,0,883.156,25,0,75.5661,23.5945,0.8394,99240995,0.5197,0.5241,0.0131,0.7599
I00699,68,38653.7367,38890.0717,38601.7367,49005.5345,49014.6243,49003.5345,10401.7978,25,0,9398.6585,25,0,6113.3187,25,0,82.1601,17.3464,0.4935,464792091,0.6481,0.6514,0.1404,0.8241
I00699,69,23261.6611,23487.4238,23209.6611,30288.7227,30297.4059,30286.7227,7077.0616,25,0,6983.9458,25,0,4445.5083,25,0,83.7269,15.8945,0.3786,186724848,0.6783,0.6809,0.1332,0.8392
